Favorite Count,Retweet Count,Tweet Created At,Tweet Text,User Name
632,133,2019-07-31 02:00:07,"People want access to our markets—so we need to hold other countries to standards. Right now the whole game is working for the big multinational corporations, not American workers. We need to change that. #DemDebate",Elizabeth Warren
1251,305,2019-07-31 01:58:57,"For decades we’ve had a trade policy written by giant multinational corporations. They have no loyalty or patriotism. If they can make a nickel by moving a plant overseas, they’ll do it. My new trade plan puts small businesses, farmers, and entrepreneurs at the table. #DemDebate",Elizabeth Warren
0,300,2019-07-31 01:50:14,RT @TeamWarren: We're standing by a candidate we believe in. @ewarren isn't afraid—and neither are we. #DemDebate https://t.co/ZaPd1wRAI5,Elizabeth Warren
0,186,2019-07-31 01:50:08,RT @TeamWarren: The climate crisis is the existential crisis of our time. @ewarren has a plan to invest $2 trillion in green research and m…,Elizabeth Warren
1524,290,2019-07-31 01:49:33,My education plan invests a minimum of $50 billion in HBCUs and Minority-Serving Institutions. That’s one step our country must take to level the playing field for Black and Brown Americans. #DemDebate,Elizabeth Warren
8336,2143,2019-07-31 01:45:20,We need to call out white supremacy for what it is: Domestic terrorism—and that poses a threat to America. #DemDebate,Elizabeth Warren
12560,3114,2019-07-31 01:36:59,I genuinely do not understand why anyone would go to all the trouble of running for president just to get up on this stage and talk about what’s not possible. #DemDebate https://t.co/cOCz5TS3AF,Elizabeth Warren
2805,609,2019-07-31 01:34:13,"Climate change is an existential crisis in our world. It puts everything living on our planet at risk. My Green Manufacturing plan would invest $2 trillion in green research and exporting, and create 1.2 million new American jobs in green manufacturing. #DemDebate",Elizabeth Warren
30405,6949,2019-07-31 01:23:02,I genuinely do not understand why anyone would go to all the trouble of running for president just to get up on this stage and talk about what’s not possible. #DemDebate,Elizabeth Warren
5490,1120,2019-07-31 01:21:54,"I took on the big banks, and I beat them. I took on Wall Street CEOs, and I beat them. I took on a popular incumbent senator, and I beat him. 

Democrats win when we go out there and fight for it. I’m not afraid. And for Democrats to win, you can’t be afraid either. #DemDebate",Elizabeth Warren
0,259,2019-07-31 01:14:46,"RT @TeamWarren: We must live our values. @ewarren will not criminalize mothers, babies, and families fleeing violence and seeking refuge in…",Elizabeth Warren
3904,766,2019-07-31 00:57:34,"Rules matter. And it matters if we say our rule is to put people in cages. What we need to do is have a sane immigration system that keeps us safe, but does not criminalize mothers and babies fleeing violence and seeking refuge in America. #DemDebate",Elizabeth Warren
1511,281,2019-07-31 00:56:47,We have to be an America that is clear on immigration. We need to expand legal immigration and fix the crisis at the border. What we can’t do is play into Donald Trump’s hands. #DemDebate,Elizabeth Warren
3283,843,2019-07-31 00:53:00,The problem is that right now the criminalization statute is what gives Trump the ability to take children away from their parents &amp; lock up people at our borders. We must be a country that lives our values. That means we cannot make it a crime to come to our country. #DemDebate,Elizabeth Warren
0,441,2019-07-31 00:44:43,"RT @TeamWarren: We need to be the party of big, structural change. @ewarren knows what's broken in this country—and she has a plan to fix i…",Elizabeth Warren
0,939,2019-07-31 00:44:37,RT @TeamWarren: Let's stop using Republican talking points. #DemDebate https://t.co/vrFgfoOrhK,Elizabeth Warren
2143,506,2019-07-31 00:41:22,Washington works great for the giant drug companies and insurance companies. Let’s be clear: These insurance companies don’t have a god-given right to suck billions of dollars out of our health care system. We need to have the courage to fight back. #DemDebate,Elizabeth Warren
2222,584,2019-07-31 00:38:27,"The basic profit model of insurance companies is taking as much money possible in premiums, and pay as little as possible in coverage. Giant corporations and billionaires should pay more taxes, and middle-class families should pay less out of pocket for health care. #DemDebate",Elizabeth Warren
756,202,2019-07-31 00:34:14,"Families are losing their loved ones because they can’t afford life saving medication like insulin. Congress has a duty to act. That’s why I’m fighting to make high-quality, affordable health care accessible to everyone—no exceptions. #DemDebate
https://t.co/WR9ebDKXJU",Elizabeth Warren
648,169,2019-07-31 00:34:13,One third of donations made through @gofundme go towards helping people pay for health care—including plenty of families who have health insurance and still get hit with crushing medical bills. The system is broken. #DemDebate https://t.co/YuMZ1odBEu,Elizabeth Warren
288,103,2019-07-31 00:34:13,"Insurance companies sucked $23 billion out of our health care system last year. They profited on the backs of people like @AdyBarkan. Unfortunately, there are so many other stories like his. #DemDebate https://t.co/SVRhJS9hT2",Elizabeth Warren
1448,330,2019-07-31 00:34:13,"My friend @AdyBarkan is a hero not just to me, but to everyone whose health care he’s fought for. When the #GOPTaxScam was poised to cut Medicare—a program that millions of Americans rely on—Ady fought back hard. His story reminds us: We need #MedicareForAll.",Elizabeth Warren
4074,710,2019-07-31 00:32:29,Health care is a basic human right—and we fight for basic human rights. I'll keep fighting until everyone has access to the health care they need. #MedicareForAll #DemDebate,Elizabeth Warren
4994,907,2019-07-31 00:28:16,"We’re not going to solve the problems we face with small ideas and spinelessness. We need to be the party of big, structural change. I understand what’s broken, I know how to fix it—and I’m willing to fight to make it happen. #DemDebate",Elizabeth Warren
2277,218,2019-07-30 23:52:59,Looking forward to taking the stage at the #DemDebate in just a few minutes. Let’s do this! https://t.co/LhpMhUvgyJ,Elizabeth Warren
1255,155,2019-07-30 23:35:42,"My second-grade teacher, Mrs. Lee, changed my whole world (and gave the best hugs). I was happy to learn that Ellie, who won @TeamWarren’s contest to join us for the #DemDebate in Detroit, is a second-grade teacher, too! Let’s hear it for America’s teachers. https://t.co/O8PHtHjwQP",Elizabeth Warren
12169,1041,2019-07-30 23:29:27,On my way to the #DemDebate! https://t.co/i5L7lLQaUv,Elizabeth Warren
1001,148,2019-07-30 22:54:02,"Wow! Thankful for your support, @McGovernMA. Together we’ll fight for the big, structural change that Americans want to see. https://t.co/UcpJiH4xqf",Elizabeth Warren
832,130,2019-07-30 22:39:43,"Grateful to have your support, @KatherineClark. I promise to fight for every family as hard as I fight for mine. https://t.co/2ShUdhUAxA",Elizabeth Warren
1535,233,2019-07-30 22:24:01,"Thank you, @EdMarkey! You don’t get what you don’t fight for—and I’m ready to give this fight all I’ve got. Grateful for your friendship and support. https://t.co/aR0nzsLD20",Elizabeth Warren
775,144,2019-07-30 22:01:13,Adam and Miranda—thank you for the letters you gave me at our Toledo town hall last night. You inspire me to keep fighting. https://t.co/O3qwNdJ5qH,Elizabeth Warren
628,93,2019-07-30 21:46:00,"Thank you, @Andy_Levin! We’re in this fight to build a  grassroots movement together. https://t.co/3VO0ILKb5R",Elizabeth Warren
1197,206,2019-07-30 21:27:58,"Thankful for your support, @standwithraul. I’m ready to fight my heart out for working families and make sure our country works for everyone—not just the wealthy and well connected. https://t.co/vIHKlZAYX5",Elizabeth Warren
1782,326,2019-07-30 21:10:13,"This fight is about a brighter future for Native communities, for New Mexico, and for our country. Humbled to fight alongside a trailblazer and friend like @Deb4CongressNM. https://t.co/xeznmMS0hj",Elizabeth Warren
918,146,2019-07-30 20:51:27,"It was great talking with @Jaden_Reports after last night’s town hall in Toledo. He had some important questions for me, and I answered. Keep up the great work—you’ve got a bright career ahead of you in the newsroom! https://t.co/i20abBKLrz",Elizabeth Warren
10287,999,2019-07-30 20:24:50,I’m jazzed up for the #DemDebate tonight! https://t.co/IO6iOLuzvu,Elizabeth Warren
10488,1750,2019-07-30 19:45:22,"I got to live my dream of becoming a teacher because an affordable higher education opened a million doors for me.

But chances like the ones I got don't exist anymore. My plan for universal free public college and cancelling student debt would create new opportunities for all. https://t.co/cY9GGiyvAq",Elizabeth Warren
1651,340,2019-07-30 18:38:20,"In this primary, we have an opportunity to make a real difference in the way campaigns are funded. It’s why I’m fighting my heart out to cut dark money out of politics—and why my campaign is 100% grassroots-funded. https://t.co/0UPemH0B8x",Elizabeth Warren
7186,2370,2019-07-30 18:01:33,"The #GOPTaxScam wasn’t reform—it was a heist. It showered corporations and the wealthy in tax giveaways and kicked everyone else to the curb. I’ve proposed real reform to ensure the wealthiest Americans and corporations pay their fair share.
https://t.co/4IZmooXhld",Elizabeth Warren
2243,401,2019-07-30 17:07:03,One of the best parts of my trip to Detroit in June was reading your hand-written notes about what got you into this fight. Your stories keep me going—and I’m glad to be back in Detroit for the second #DemDebate! https://t.co/RxuXpZJnj6,Elizabeth Warren
1527,367,2019-07-30 16:34:30,"I stand in solidarity with the people of Anchorage, Alaska who are fighting to make their voices heard against extreme budget cuts that could hurt the people of their state. https://t.co/wH7rxCWzg2",Elizabeth Warren
871,143,2019-07-30 15:25:04,"I’m grateful for the opportunity last night to talk with the people of Toledo about big, structural change—including my new plan to make our trade policy actually work for American families. https://t.co/URFdIGBThA",Elizabeth Warren
1604,298,2019-07-30 14:27:46,"I don’t spend my time chasing big checks from wealthy donors and special interest groups—so I have time to make thank you calls to as many grassroots donors as I can. Chip in $3 now to help build our movement, and I might give you a call to say thanks! https://t.co/EMlFh2VxHT",Elizabeth Warren
2267,630,2019-07-30 03:15:27,"For decades, America’s trade policy has worked great for the rich and the powerful. American workers? Not so much. Tonight in Toledo, I talked about our need for trade policy that favors the American people, not multinational corporations. https://t.co/Eqcvp839B8",Elizabeth Warren
12159,1160,2019-07-30 02:09:30,"40,000—and counting! Grateful for each and every one of you. https://t.co/k2vv8JUgXN",Elizabeth Warren
2212,599,2019-07-30 00:44:41,"Powerful corporate interests have poured gigantic sums into capturing our courts. We need judges who value justice for all, not just for the rich and powerful. https://t.co/ELOhzkSN17",Elizabeth Warren
7554,1574,2019-07-29 23:45:05,"No student should live in fear of discrimination. As president, I will not only fight my heart out for LGBTQ+ students' rights, I will nominate a former public school teacher as education secretary. We need a leader who will actually fight for our kids. https://t.co/eAssxYgC5C",Elizabeth Warren
6135,896,2019-07-29 22:35:01,"No, it’s not a prank. It’s really me! Thank you, Felipe, for making a contribution to my campaign. We make each other stronger in these fights. https://t.co/a8XzLhyIxP",Elizabeth Warren
0,131,2019-07-29 21:57:52,RT @MohammedKhaderr: Thanks @ewarren @TeamWarren for being one of the only candidates in the field to address the inaugural Muslim Caucus’…,Elizabeth Warren
1745,392,2019-07-29 21:15:16,"Our government is broken. Wall Street has tilted our laws to favor the rich and the powerful, while working Americans foot the bill.

I’m running for president to return the power to the people. Will you chip in $3 now to help me keep up the fight? https://t.co/ASX1L1iYER",Elizabeth Warren
26,6,2019-07-29 20:32:48,@NancyLathamLFA @TeamWarren @BayArea4Warren Thank you so much! I can’t wait to read it.,Elizabeth Warren
7,2,2019-07-29 20:19:28,@primesuspect Wow! That does look delicious.,Elizabeth Warren
1137,277,2019-07-29 20:14:45,"We need data-based, ecologically sensitive solutions to the threat of fire on our public lands—not giveaways to special interests. https://t.co/StFzV5aOJK",Elizabeth Warren
1325,320,2019-07-29 19:48:02,We need to fundamentally transform our approach to trade—and that means using trade to raise wages and combat climate change instead of padding the bottom lines of big multinational corporations who have no allegiance to America. https://t.co/sWLqWabO6d,Elizabeth Warren
2068,635,2019-07-29 19:03:02,"For decades, our trade policies have been written by corporations to benefit their bottom line. It's time for a new approach. The president has a lot of authority to remake trade policy herself. When I’m elected, I intend to use it. https://t.co/KqNxzzbWWL",Elizabeth Warren
15506,2889,2019-07-29 17:31:48,.@TheRevAl has dedicated his life to the fight for justice for all. No amount of racist tweets from the man in the White House will erase that—and we must not let them divide us. I stand with my friend Al Sharpton in calling out these ongoing attacks on people of color.,Elizabeth Warren
1014,169,2019-07-29 16:00:07,"Trade can be a powerful tool. My plan represents a new approach—one that uses America’s leverage to boost American workers and raise the global standard of living. The president has a lot of authority to remake trade policy herself. When elected, I intend to use it.",Elizabeth Warren
916,148,2019-07-29 16:00:07,"I’ll end “Investor-State Dispute Settlement”—the favorable enforcement we offer corporations which they've used to undermine laws that benefit workers &amp; families (like minimum wage increases). And I’ll create a new, stronger approach to enforcing labor &amp; environmental standards.",Elizabeth Warren
323,57,2019-07-29 16:00:07,"Finally, our approach to enforcing trade deals is driving down standards worldwide. We offer corporations fast and powerful methods to enforce the provisions that benefit them, but make it nearly impossible to enforce labor and environmental protections. It's time to change that.",Elizabeth Warren
470,97,2019-07-29 16:00:06,I'll make combating climate change a key focus of our trade deals—and make sure America lives up to the same standards we hold other countries to. I'll require countries we negotiate trade deals with to comply with the Paris Climate accord and end fossil fuel subsidies.,Elizabeth Warren
251,48,2019-07-29 16:00:06,I'll also go further to make sure our trade deals ensure consumer safety &amp; protect America's family farms. And I'll fight to bring down the costs of prescription drugs here &amp; around the world by supporting price controls &amp; seeking out opportunities to reduce exclusivity periods.,Elizabeth Warren
313,55,2019-07-29 16:00:06,"I'll establish a set of standards that countries must meet as a precondition for any trade agreement: covering labor rights, human rights, religious freedom, human trafficking, protecting the environment, currency practices, and combating tax evasion and bribery.",Elizabeth Warren
280,48,2019-07-29 16:00:05,"For too long, we've made trade deals with countries with abysmal records on labor, environmental issues, and human rights. They get concrete access to the American market while we get vague commitments to do better—which we hardly enforce. This must end.",Elizabeth Warren
248,46,2019-07-29 16:00:05,"Our trade negotiations give special access to corporate interests before the agreement is rushed through Congress. I'll end this undemocratic, corrupt practice and negotiate and approve trade deals through a transparent process that offers the public a real chance to shape them.",Elizabeth Warren
268,44,2019-07-29 16:00:05,"My plan is a whole new approach to trade that will transform every aspect of our current process, from how we negotiate deals, to the negotiating objectives we pursue, to the way we enforce agreements. This isn’t about tough talk—it's about big, structural change.",Elizabeth Warren
344,73,2019-07-29 16:00:04,"America has enormous leverage in trade negotiations. I won’t hand that leverage to corporations to boost their own profits—I’ll use it to create and defend good American jobs, raise wages, fight climate change, lower drug prices, and raise living standards worldwide.",Elizabeth Warren
2054,657,2019-07-29 16:00:04,"For decades, America’s trade policy has put the profits of big multinational corporations ahead of American workers, farmers, and the environment. I have a new approach: Trade on our terms and only when it benefits American families. Here's my plan. https://t.co/M0ILIV637H",Elizabeth Warren
31785,4955,2019-07-29 15:31:08,"Yesterday, 4 people were killed and dozens more injured in senseless gun violence attacks in Gilroy and Brooklyn. One of the victims was a 6-year-old child. And these are just the few that made headlines. I’m heartsick. We have a gun violence epidemic. It’s our duty to act—now.",Elizabeth Warren
17447,1514,2019-07-29 01:41:54,I won’t! I promise to fight for your family as hard as I fight for mine. https://t.co/i9jUJceFhR,Elizabeth Warren
2479,593,2019-07-29 01:05:38,"That’s right.

Gottlieb’s trip through the revolving door—from head of the @US_FDA to a spot on @Pfizer’s board—is a huge conflict of interest. Under my plan to #EndCorruptionNow, that would be illegal. https://t.co/oIxYzNQ8SW",Elizabeth Warren
11757,3741,2019-07-28 23:26:47,"From day one, Trump has made his disdain for the intelligence community clear. Our Director of National Intelligence should be above partisan politics, speak truth to power, and resist Trump's abuses of authority. John Ratcliffe doesn't fit that bill.
https://t.co/VG10AZPGz0",Elizabeth Warren
0,555,2019-07-28 22:38:02,"RT @thehill: Sen. Elizabeth Warren: ""Donald Trump once again is a racist who makes ever more outrageous racist remarks. It is insulting, bo…",Elizabeth Warren
35,3,2019-07-28 22:14:19,"@molly_collimore Great meeting you, Molly!",Elizabeth Warren
1995,358,2019-07-28 21:34:10,Our campaign is 100% grassroots funded. So I spend my time calling as many people as I can to thank them for chipping into this movement. I love making these calls—and I’m planning on making more soon. Donate now and you could be next! https://t.co/vvrYzDjsiB,Elizabeth Warren
1792,252,2019-07-28 20:27:08,"I could feel the energy the moment I stepped through the door. Thank you to the people of Bow for hosting a terrific #WinWithWarren house party! If you’re ready to get in this fight with me, find an event in your community: https://t.co/VLJuLsqlnS https://t.co/kgXWsxoHwP",Elizabeth Warren
9372,2896,2019-07-28 18:57:12,Our government should keep Americans safe—not allow private prisons to profit off of locking people up. Here’s how my plan to ban private prisons works. https://t.co/XItu5eNPjf,Elizabeth Warren
2591,328,2019-07-28 01:17:51,"Woo-hoo, thanks for coming out today, New Hampshire! I'm grateful down to my toes that we got to talk about the big, structural change we're fighting for. https://t.co/pXx0HHffqt",Elizabeth Warren
193,22,2019-07-27 23:29:26,"@wade_snowden Thank you so much for your letter, Wade. We’ll keep fighting the good fight, together.",Elizabeth Warren
7979,1843,2019-07-27 23:21:43,"To get serious about climate change and reduce our reliance on fossil fuels, we need to end Big Oil’s stranglehold on Washington. As president, I’ll eliminate fossil fuel subsidies and put a moratorium on new fossil fuel leases offshore or on public lands. https://t.co/ZuNaWhTOTf",Elizabeth Warren
66284,12709,2019-07-27 20:19:46,"Donald Trump’s tweets are ugly and racist. They’re purposefully designed to turn us against one another. We cannot let that happen. Instead, we must follow my friend Elijah Cummings’ example and keep doing the work for the American people. https://t.co/t7heu6k3wq",Elizabeth Warren
4531,991,2019-07-27 17:15:48,"Teaching law at @UHouston was a dream come true, but incredibly hard while raising two little kids. Lack of high-quality, affordable child care almost sunk me—until Aunt Bee came to help. The fight for #UniversalChildCare is personal for me. https://t.co/XusjJIfMGY",Elizabeth Warren
8889,1525,2019-07-27 14:18:38,"Every letter I read gives me yet another reason to keep dreaming big and fighting hard for the big, structural change that Americans everywhere want to see. I’m grateful down to my bones for your support. https://t.co/ig15RZscvd",Elizabeth Warren
5286,1050,2019-07-27 02:05:57,"I’m running my campaign differently. No federal lobbyists. No fundraisers with mega-donors. No money from PACs of any kind. Instead, I’m spending my time talking with you. Will you chip in $3 right now? It will go a long way—and I might call to say thanks! https://t.co/eJR3TAO0k8",Elizabeth Warren
1030,298,2019-07-27 01:02:50,Our federal government has underserved HBCUs and MSIs for decades. We need to right these wrongs—starting with my plan to invest at least $50 billion in these important institutions. https://t.co/M8KoYiUCe8,Elizabeth Warren
747,119,2019-07-27 00:10:26,"Thank you for having me, #PeoplesConvention19! https://t.co/CFpmbHxbl4",Elizabeth Warren
8640,2241,2019-07-26 22:34:23,A person’s HIV status has no bearing on their ability to parent. This is just the latest in a long line of the Trump administration’s cruel attacks on immigrant communities. I want to be clear here: Families belong together—no exceptions. https://t.co/swuC8TiNHO,Elizabeth Warren
1657,314,2019-07-26 22:08:23,"This is a big win for women who work in politics and for their families. Grateful for @Liuba4Congress’s leadership in making this possible! Next, let’s go a step further and make #UniversalChildCare a reality for everyone. https://t.co/NRd0gPwUtH",Elizabeth Warren
1473,235,2019-07-26 20:23:12,"The ADA is about civil rights, opportunity, and our values—but there’s more work to be done. As I celebrate the ADA today, I'm committing to continue the fight to protect these rights every step of the way. #ADA29",Elizabeth Warren
1223,146,2019-07-26 20:23:12,"That changed with the passage of the ADA—which came about thanks to activists and leaders in Congress like Rep. Major Owens. It not only helped dismantle prejudices about Americans with disabilities, it recognized their right to live, work, and love independently. #ADA29",Elizabeth Warren
3399,552,2019-07-26 20:23:12,"On the 29th anniversary of the Americans with Disabilities Act, I’m thinking about my first job out of college—teaching students with speech and learning disabilities at a public school. I saw the difficulties my kids faced navigating a world that wasn’t designed for them. #ADA29",Elizabeth Warren
849,236,2019-07-26 19:40:30,"The playing field is tilted against entrepreneurs and small business owners of color. A typical Black entrepreneur starts a business with $35,000 in capital—a third of the startup capital for the typical white entrepreneur. Here’s how we change that: https://t.co/LvuawDrL04",Elizabeth Warren
926,224,2019-07-26 19:03:52,"HBCUs have always had to do more with less. Many are in danger of closing, or have already closed. That's why I have a plan to invest at least $50 billion in HBCUs. https://t.co/Wh0tHVjfwk",Elizabeth Warren
28,4,2019-07-26 18:49:10,@WendyENThomas Wow! I love it.,Elizabeth Warren
3202,463,2019-07-26 18:44:15,"For black moms in particular, this maternal mortality crisis is an epidemic. I have a plan to hold health systems accountable for protecting them. https://t.co/WxVm56TGOB",Elizabeth Warren
3748,705,2019-07-26 18:44:14,We have the power to prevent these deaths. We need paid leave so that new moms have time to recover—and we need #MedicareForAll so that moms (and their babies!) have access to the health care they need. https://t.co/A0P5zudy5h,Elizabeth Warren
3703,539,2019-07-26 17:31:49,"I’m running a different kind of campaign. Since I don’t spend my time asking rich donors for big checks, I get to spend it with voters instead. That way everyone can get a selfie! https://t.co/dA4S5I6XNw",Elizabeth Warren
6865,2295,2019-07-26 15:53:30,"Trump's Department of Justice just approved @TMobile and @Sprint’s $26 billion merger. This merger will cost thousands of jobs, reduce wages, and further reduce competition in a sector that badly needs it. We need antitrust regulators with the courage to stand up to monopolies. https://t.co/IjYoSK1lan",Elizabeth Warren
29259,3966,2019-07-26 14:09:07,"Exciting news: We just passed one million contributions made to our campaign!

We’re 100% grassroots-funded, &amp; every person who chips in owns a piece of our movement. I couldn’t be more grateful. After Caitlyn made the millionth donation, I called with a double woo-hoo thank you! https://t.co/UvupHb9qW6",Elizabeth Warren
9189,1328,2019-07-26 02:55:08,"After Wanda, a math teacher, chipped in to our campaign, I gave her a call to say thanks! Teachers see the worth in every human being—the guy in the White House doesn’t know what he’s up against. https://t.co/PxK9TMu8QK",Elizabeth Warren
1288,278,2019-07-26 02:19:28,"I'm thrilled to see that the House has passed #VenezuelaTPS! If Donald Trump really cared about the plight of the Venezuelan people, he wouldn't be deporting those in the U.S. back to violence and fear. Now I hope my Senate colleagues will pass this bill. https://t.co/NimovtwoeE",Elizabeth Warren
